sex,Final.IGF.1,body.weight,pctFat,fem.dens,fem.circ,D1Mit64,D1Mit236,D1Mit7,D1Mit386,D1Mit14,D1Mit540,D1Mit17,D2Mit365,D2Mit323,D2MIT206,D2Mit395,D2MIT285,D2MIT113,D3Mit60,D3MIT131,D3MIT178,D3Mit230,D3Mit57,D3Mit19,D3Mit258,D4MIT104,D4Mit111,D4Mit15,D4Mit170,D4Mit42,D5Mit146,D5Mit66,D5Mit200,D5MIT88,D5Mit95,D5Mit143,D6Mit86,D6Mit74,D6Mit14,D6Mit52,D7Mit75,D7Mit228,D7MIT93,D7MIT7,D7Mit332,D7Mit259,D8Mit124,D8Mit292,D8MIT75,D8Mit200,D8Mit92,D9Mit90,D9Mit1001,D9Mit253,D9Mit1006,D9Mit259,D9Mit12,D9Mit151,D10Mit77,D10Mit126,D10MIT96,D10Mit14,D11Mit2,D11Mit188,D11MIT30,D11Mit213,D11Mit214,D12Mit169,D12Mit60,D12Mit201,D12Mit5,D12MIT133,D13Mit16,D13Mit88,D13Mit125,D16Mit132,D13Mit35,D14Mit98,D14MIT60,D14Mit5,D14Mit68,D14Mit75,D15MIT80,D15MIT143,D15Mit67,D15Mit242,D16Mit60,D16Mit5,D16Mit189,D16Mit86,D17Mit164,D17MIT175,D17Mit20,D17Mit39,D17Mit76,D18Mit64,D18Mit147,D18Mit123,D18Mit9,D18Mit4,D19Mit68,D19Mit40,D19MIT88,D19MIT17,D19MIT108
0,9.4,18.08,40.8,0.538,3.543,A,B,B,B,H,H,-,H,H,A,A,H,H,-,H,A,-,A,H,A,B,H,A,H,B,H,H,H,H,B,B,-,B,H,H,A,-,H,H,H,B,H,H,H,-,H,H,-,H,H,H,H,H,B,H,B,B,H,H,H,H,A,B,B,B,B,B,H,H,H,-,A,B,B,H,A,A,A,A,A,A,H,H,H,-,A,H,H,H,H,H,H,B,B,B,H,H,A,A,A
1,8.5,20.55,40,0.49,3.811,H,H,H,H,H,H,-,A,A,H,H,H,A,-,B,H,-,H,H,H,H,H,B,B,B,H,H,H,H,H,B,-,A,A,A,B,H,B,H,H,H,B,B,H,-,H,H,H,H,H,H,A,A,H,B,A,H,H,A,A,A,H,A,A,A,A,H,H,B,B,B,B,A,H,H,A,B,B,B,B,H,H,H,H,A,A,A,A,A,H,H,H,A,H,H,A,A,H,H,H
1,9.6,22.59,42.8,0.469,3.867,A,A,A,A,A,H,-,H,H,A,A,A,H,-,B,B,-,A,A,A,H,H,H,H,H,B,B,B,A,A,A,-,A,H,H,H,-,A,A,H,H,B,B,H,-,H,B,-,B,B,B,B,B,H,H,A,A,A,A,A,H,H,A,A,A,A,A,H,B,H,A,H,H,H,H,B,B,H,H,H,A,A,A,A,A,A,A,A,H,B,H,H,H,H,H,A,H,H,H,H
1,8.5,24.83,45.5,0.498,3.915,H,H,H,H,H,H,-,H,H,H,H,B,B,-,B,B,-,B,A,H,H,A,A,H,H,H,H,A,A,H,H,-,A,B,B,H,-,H,A,A,A,H,H,H,-,B,H,H,H,H,H,H,H,B,A,H,A,H,A,A,H,B,H,H,H,H,A,-,B,A,A,H,H,B,B,B,B,H,H,B,B,H,H,H,A,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H
1,7.3,15.63,31.1,0.483,3.647,H,A,A,A,A,H,-,H,B,H,H,A,A,-,A,A,-,H,H,H,H,H,A,H,H,H,H,H,H,B,B,-,H,B,H,H,H,H,B,B,B,H,H,H,-,B,B,B,B,B,B,B,B,H,H,H,H,H,A,H,H,H,A,A,H,B,B,B,B,H,H,H,H,B,B,A,B,H,H,A,A,A,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,B,H
0,11,18.96,38.6,0.474,3.915,H,H,H,H,H,H,-,H,H,H,H,H,H,-,B,B,-,H,A,H,A,H,H,H,H,A,A,A,A,A,A,-,A,H,H,H,H,B,B,B,B,H,H,H,-,H,H,H,H,B,B,B,B,A,H,B,B,A,A,A,A,H,A,A,A,A,B,H,H,A,A,H,A,A,A,H,H,B,A,B,H,H,H,A,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,H
0,8.5,15.51,30.9,0.489,3.844,H,B,B,B,B,B,-,H,B,H,H,H,H,-,B,B,-,B,A,A,H,H,H,H,A,B,H,B,H,H,H,-,B,H,A,H,B,B,B,B,B,H,H,H,-,-,H,B,-,B,B,H,H,A,B,H,B,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,A,B,B,H,H,-,A,B,B,H,A,A,A,A,A,A,A,A,A,H,H,H,B,A,H,H,H,H
0,12.5,18.97,38.4,0.529,3.804,H,H,H,H,H,H,-,H,H,H,H,A,H,-,H,A,-,H,H,H,A,A,A,H,H,H,H,H,B,H,H,-,B,B,B,H,H,H,H,-,H,A,A,H,-,H,B,B,B,B,H,A,A,A,B,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,B,-,A,A,H,H,B,B,H,H,A,B,B,B,B,B,B,H,H,H,H,H,A,H
1,12.5,24.16,48.3,0.506,3.771,H,H,H,H,B,H,-,B,B,B,H,H,H,-,H,A,-,H,H,H,H,H,A,H,H,B,B,B,B,B,H,-,H,B,B,B,B,H,A,-,A,A,A,A,-,B,B,B,B,H,H,H,B,H,H,H,H,H,H,H,H,H,B,B,H,H,A,H,H,H,H,H,B,B,B,B,B,H,A,H,H,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,H
1,7.1,29.7,51.4,0.513,3.994,B,A,H,H,H,H,-,B,B,B,B,B,B,-,A,A,-,A,B,H,H,H,H,H,H,A,A,H,H,H,H,-,H,H,H,B,B,B,B,-,H,H,H,H,-,H,H,H,H,H,H,B,B,A,B,H,H,H,H,H,A,H,A,A,H,H,B,H,H,H,H,H,H,H,H,A,H,B,A,H,H,B,B,B,B,A,A,H,B,B,B,B,B,B,B,A,H,H,H,H
1,14.9,20.27,44.8,0.497,3.601,A,B,B,B,B,B,-,B,H,A,A,A,A,-,H,H,-,B,B,B,A,A,A,A,A,B,B,B,H,A,A,-,H,A,H,B,H,H,H,H,B,H,H,A,-,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,A,H,A,A,A,A,A,H,A,H,H,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H
1,-,26.87,51.6,0.51,3.835,B,H,B,B,B,B,-,A,A,H,B,A,H,-,B,B,-,B,H,H,B,A,A,A,A,H,H,H,B,B,B,-,H,H,H,B,B,H,H,H,H,B,B,B,-,H,B,B,B,B,B,B,H,H,H,A,H,A,A,H,B,B,A,H,A,H,H,A,A,A,A,H,H,H,H,H,H,A,A,A,A,B,B,B,B,A,H,A,A,A,B,B,B,H,B,A,H,H,H,H
0,12.5,18.43,38.1,0.497,3.569,B,A,A,A,H,H,-,H,H,B,B,A,H,-,B,B,-,H,H,H,H,H,A,H,H,B,B,B,B,B,B,-,H,B,B,A,A,H,H,H,H,A,A,H,-,H,H,H,H,H,H,H,B,A,H,B,B,H,H,A,A,A,B,B,B,B,B,H,H,H,H,H,A,A,A,A,H,B,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H
0,15.8,17.89,32.3,0.472,3.963,H,A,A,-,A,H,-,H,H,H,H,H,A,-,H,H,-,H,H,H,-,H,H,B,B,B,B,B,H,H,H,-,H,H,H,A,A,H,H,H,H,H,H,H,-,A,B,B,B,H,H,A,A,B,A,B,-,A,A,A,H,B,B,B,H,H,H,A,A,H,H,H,H,B,B,H,H,H,A,H,H,A,A,A,A,H,B,B,B,B,A,A,A,A,H,-,H,H,H,H
0,15,24.79,45.3,0.559,3.899,B,B,B,B,B,B,-,B,B,B,B,B,H,-,B,H,-,B,B,B,B,B,B,B,B,A,A,H,H,H,H,-,A,B,B,B,H,H,H,H,H,H,H,H,-,B,H,H,H,A,A,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,A,A,A,A,H,H,A,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
0,12.5,17.74,32.6,0.534,3.763,A,B,B,H,A,H,-,A,A,A,A,A,A,-,A,A,-,H,H,H,H,H,H,H,H,H,H,H,H,B,B,-,B,A,H,A,H,H,B,H,H,H,B,B,-,H,H,H,H,H,H,H,H,-,B,H,H,H,H,H,H,H,B,B,B,B,B,H,B,H,H,H,B,B,B,B,H,B,A,H,A,B,H,H,H,H,-,B,B,B,A,A,A,A,B,H,H,H,A,H
0,14.3,16.1,31.7,0.484,3.712,A,H,H,H,H,-,-,H,H,A,A,H,-,-,H,B,-,H,H,H,H,A,A,H,B,H,H,A,-,B,A,-,H,H,B,H,H,H,A,A,A,A,A,A,-,H,H,-,H,H,H,H,B,-,H,-,A,H,H,H,-,A,A,H,H,H,H,-,A,A,A,H,-,H,-,A,A,-,A,A,-,H,-,-,H,-,H,B,B,H,A,A,A,A,-,B,H,H,-,A
1,8.5,23.41,39.4,0.483,3.747,-,H,H,H,-,H,-,H,A,A,A,A,B,-,B,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,A,H,H,H,H,H,H,H,H,A,A,A,-,A,B,H,H,H,H,H,H,-,-,-,H,B,-,-,H,-,A,B,B,B,B,-,H,B,-,H,-,H,H,H,-,A,A,H,H,B,B,B,B,H,B,H,B,B,A,H,H,H,B,B,B,B,B,B
1,3,28.77,47.9,0.51,4.032,H,H,H,H,H,H,-,A,H,H,H,H,A,-,H,H,-,B,H,B,B,B,H,H,H,B,B,B,B,B,A,-,B,B,B,H,H,H,H,H,H,B,B,B,-,B,A,A,A,A,H,H,H,H,B,A,A,H,H,H,H,B,B,H,B,B,H,-,H,H,B,B,-,H,H,-,H,B,A,B,A,H,H,H,H,H,A,H,H,A,H,A,A,A,A,H,H,A,A,A
0,6.6,14.03,22.5,0.467,3.785,A,H,H,H,B,H,-,H,H,H,A,A,A,-,H,A,-,A,H,H,A,A,A,H,H,H,H,H,H,A,H,-,H,H,A,B,H,A,A,H,H,B,H,A,-,-,H,H,-,H,H,H,H,H,A,B,B,B,H,A,A,B,B,B,A,A,A,-,H,H,H,H,H,H,H,-,H,A,A,B,B,A,A,A,H,B,B,B,B,B,A,A,A,A,H,A,H,H,H,H
1,4.8,21.58,38.1,0.497,3.993,B,H,H,H,A,A,-,H,H,B,B,H,H,-,A,H,-,H,H,H,H,A,A,A,A,H,H,H,H,H,B,-,H,A,A,-,H,B,B,B,B,A,A,A,-,H,A,-,A,H,H,H,H,A,H,A,A,H,H,H,H,H,A,-,H,H,H,B,B,B,-,H,H,H,H,B,H,A,H,H,H,B,B,H,-,A,A,A,H,H,A,A,H,H,H,A,H,H,H,H
1,4.1,21.27,43.4,0.442,3.859,A,H,H,A,A,A,-,A,A,A,B,A,A,-,H,H,-,H,B,H,H,H,H,H,H,H,H,H,H,H,H,-,A,H,A,A,H,B,B,-,H,A,A,A,-,A,B,B,B,B,B,B,B,H,H,H,H,A,A,H,H,B,B,B,B,B,B,A,A,H,B,B,H,H,H,H,H,A,A,A,A,B,H,H,B,H,H,A,A,A,A,H,H,H,H,H,H,H,H,A
0,9.8,15.61,30.6,0.502,3.712,H,H,B,B,B,H,-,H,H,H,H,H,B,-,A,A,-,A,A,B,H,A,H,H,H,A,A,H,H,H,A,-,B,H,H,-,H,B,B,B,B,B,B,H,-,H,A,-,H,H,H,H,B,H,H,A,A,B,B,H,H,B,A,A,A,A,H,-,H,H,-,B,B,B,B,H,H,B,B,B,A,H,H,H,-,B,B,B,H,A,B,B,B,B,B,H,H,H,H,A
0,10.7,18.01,37.3,0.489,3.613,H,H,H,H,B,H,-,H,H,H,H,H,H,-,A,H,-,H,B,H,H,H,A,H,H,B,B,B,B,B,A,-,A,H,A,A,H,B,B,B,H,H,H,H,-,H,H,H,H,H,B,B,B,H,H,H,B,H,H,H,H,H,B,-,B,H,H,A,A,B,B,B,A,H,H,H,H,A,A,A,H,B,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,H,B,B
1,2.7,15.15,33.6,0.468,3.569,B,H,H,A,A,A,-,A,B,B,A,H,H,-,B,B,-,H,A,B,H,H,B,A,A,H,H,H,H,A,B,-,B,H,H,A,A,A,H,H,H,H,H,H,-,H,B,H,B,B,B,A,H,H,H,B,H,H,H,B,B,H,A,A,-,H,H,H,H,H,A,B,B,B,B,H,A,H,H,A,B,H,H,H,H,H,H,B,H,A,H,A,A,A,H,A,H,A,H,B
1,-,21.97,46.5,0.476,3.739,A,H,H,H,H,H,-,B,A,A,B,H,H,-,B,B,-,B,H,H,B,B,B,H,H,A,A,H,H,H,A,-,H,H,H,A,A,H,H,A,H,H,H,H,-,A,H,B,H,H,H,H,A,H,A,H,B,H,H,H,H,B,B,H,H,A,H,H,H,H,H,H,H,B,H,B,B,H,A,B,H,H,H,H,H,B,B,H,B,H,A,H,H,B,H,H,A,B,B,H
1,5.7,21.48,44.2,0.536,4.008,A,H,H,A,A,A,-,H,H,H,A,H,H,-,B,B,-,B,H,H,H,H,H,B,B,H,H,H,H,-,H,-,H,H,H,B,H,A,A,A,H,B,B,B,-,A,A,-,A,A,A,A,H,H,H,A,A,A,A,B,B,A,A,A,A,A,A,H,B,B,H,H,H,H,B,B,B,-,H,H,H,H,H,H,-,A,H,H,H,H,H,H,H,H,B,A,A,H,H,H
1,2.7,23.12,50.2,0.436,3.705,H,A,A,A,A,A,-,H,-,H,H,H,A,-,-,H,-,-,B,A,B,A,A,A,-,H,H,H,A,H,A,-,H,H,H,H,H,-,H,H,-,B,H,-,-,A,A,A,A,-,A,A,H,A,H,H,H,H,A,A,A,B,H,-,B,B,B,-,H,H,H,H,-,A,A,B,B,-,A,A,H,B,H,H,H,A,H,-,A,A,H,H,H,H,H,B,B,H,H,H
1,5.7,17.32,38.4,0.483,3.447,H,H,H,-,H,H,-,H,H,H,H,H,H,-,A,A,-,H,H,H,H,H,H,H,H,H,H,H,A,A,A,-,H,H,H,A,A,H,H,H,H,B,-,B,-,A,-,B,B,B,H,H,B,H,A,-,H,A,-,B,B,-,B,B,B,B,-,-,-,H,H,-,B,B,B,A,-,-,H,-,H,A,H,B,B,H,H,B,B,-,A,-,A,H,H,A,-,A,A,A
1,-,26.69,52.6,0.476,3.688,-,B,H,-,-,H,-,H,B,B,-,B,B,-,B,B,-,B,H,H,-,H,A,A,H,B,B,-,B,H,-,-,H,H,H,H,H,H,H,H,-,-,H,-,-,B,B,-,B,-,H,H,A,H,H,-,H,A,-,A,B,A,-,-,-,H,B,-,H,-,B,H,A,-,A,-,-,-,H,-,H,-,H,A,-,A,H,H,H,-,H,-,H,H,H,H,-,H,H,H
1,2.7,25.15,50.2,0.484,3.954,H,B,B,-,H,H,-,H,H,H,H,H,H,-,H,H,-,A,B,A,-,H,H,H,H,A,A,A,A,A,H,-,H,B,B,H,B,B,B,-,H,A,A,H,-,A,A,A,A,A,A,H,H,A,H,H,-,H,H,B,H,H,B,B,B,H,H,-,A,A,A,A,H,H,H,H,H,A,B,B,B,H,B,B,B,A,H,A,A,A,A,A,H,H,H,B,B,H,H,H
0,6.3,18.68,39.3,0.478,3.491,H,A,A,A,H,H,-,H,H,H,H,H,A,-,A,A,-,A,A,B,H,H,A,B,B,H,H,B,B,B,H,-,B,B,B,B,H,H,H,H,B,A,A,A,-,H,H,H,H,B,B,B,B,-,A,H,H,H,B,B,B,-,H,H,B,B,B,-,A,A,A,-,B,A,A,A,A,A,-,A,H,H,H,H,H,B,H,H,H,H,-,B,B,B,B,A,A,A,B,A
0,12.6,17.67,34.8,0.535,3.771,H,H,B,H,A,A,-,A,A,H,H,H,H,-,B,B,-,H,B,A,H,H,H,A,A,H,B,B,B,H,H,-,A,A,A,A,A,H,H,H,H,H,H,B,-,A,H,H,H,H,H,A,A,A,B,H,H,B,H,H,H,H,A,A,H,H,H,-,H,H,H,H,B,B,B,B,B,H,A,A,H,A,A,A,A,H,A,H,H,H,H,B,B,B,B,B,B,B,H,H
0,15,18.51,37.1,0.509,3.915,H,A,A,A,A,A,-,H,H,H,H,H,H,-,H,H,-,H,H,H,H,H,H,B,B,B,H,H,H,H,H,-,A,B,H,B,A,A,A,-,H,A,A,A,-,B,B,B,B,B,B,B,H,B,A,H,H,B,H,H,H,A,H,H,H,H,H,-,H,H,H,H,H,A,A,H,H,B,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
0,7.3,18,35.7,0.503,3.755,B,B,B,B,B,B,-,B,B,B,B,B,A,-,H,H,-,B,H,B,A,A,A,A,A,A,A,H,H,H,H,-,A,A,A,H,H,H,A,A,A,H,A,A,-,H,H,H,H,A,A,A,A,H,A,H,H,A,A,A,A,B,H,-,H,B,B,B,H,H,H,H,H,H,H,H,H,-,H,H,H,A,H,H,H,H,B,B,B,H,A,A,A,H,H,H,H,H,B,A
0,11.2,17.62,36.7,0.503,3.681,A,B,B,B,B,B,-,H,H,A,A,A,H,-,B,B,-,H,H,H,A,B,B,B,H,H,H,H,H,H,H,-,H,A,A,B,-,H,H,-,B,B,B,B,-,H,B,A,H,A,A,A,H,A,H,B,B,A,A,A,A,B,B,B,B,B,H,H,B,B,-,H,A,A,H,H,H,H,H,A,A,H,H,H,-,H,A,A,A,H,A,A,A,A,A,A,A,H,H,H
1,3.8,18.06,34.2,0.474,3.9,B,A,A,H,H,A,-,B,B,B,B,B,H,-,A,H,-,B,B,A,A,H,H,B,B,A,H,H,H,-,B,-,H,A,A,-,-,B,B,B,B,H,A,A,-,H,H,-,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,-,H,H,A,A,A,A,H,H,H,H,B,H,H,-,H,B,H,H,H,A,H,A,H,H,A,H,H,B,A
1,8.1,18.26,41.6,0.471,3.446,H,H,H,H,H,H,-,H,H,H,H,H,B,-,H,H,-,H,H,H,A,A,A,A,A,B,B,B,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,B,B,H,H,A,A,-,B,H,H,H,A,-,B,H,H,-,B,B,B,B,B,-,-,A,A,A,A,A,A,B,B,B,B,H,B,B,B,B,B,H,H,H,H,A
1,8.8,20.62,40.7,0.505,3.63,H,B,H,H,H,H,-,H,H,H,H,H,H,-,A,A,-,B,A,B,B,H,H,H,H,B,B,H,H,B,B,-,H,A,A,H,B,H,H,H,A,H,H,B,-,H,H,H,H,H,A,A,A,H,H,H,B,H,H,H,H,H,H,H,H,H,H,-,A,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,A,B,H,H,A,A,H,H,-,H,H,H,H,H,A,B
0,6.3,13.95,31.1,0.515,3.524,B,A,H,H,H,H,-,A,H,B,-,H,H,-,H,H,-,B,A,B,H,H,A,A,A,A,A,A,H,H,B,-,B,A,A,B,B,B,B,B,B,B,B,B,-,H,H,H,H,H,H,H,H,B,A,B,B,B,B,B,B,B,A,A,A,A,A,-,A,A,A,H,A,A,A,-,A,B,H,H,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
0,8.7,13.23,25.5,0.504,3.501,B,A,B,B,H,H,-,A,A,H,B,B,B,-,H,H,-,A,B,A,H,H,H,H,H,H,H,B,H,H,H,-,B,H,H,H,B,B,B,B,B,H,H,H,-,H,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,A,A,H,H,H,B,H,H,A,B,A,A,H,H,A,A,A,H,B,B,B,B,B,H,A,A,A,-,B,A,A,B,A
0,7.7,14.43,33.7,0.5,3.579,B,B,B,H,H,H,-,H,H,B,B,B,B,-,H,H,-,H,H,H,H,H,H,H,B,H,H,H,H,H,H,-,H,H,H,A,A,A,H,B,B,A,A,A,-,-,B,H,-,H,H,H,A,H,H,H,A,H,H,H,H,A,A,A,A,A,A,A,B,B,B,B,H,H,H,H,H,H,H,H,A,H,H,A,A,H,H,B,B,B,A,A,A,A,A,A,H,H,H,H
0,6.6,15.15,34.3,0.517,3.579,H,B,B,B,B,H,-,H,H,H,H,H,H,-,H,H,-,B,A,B,H,A,A,H,A,H,H,H,H,H,H,-,B,H,H,B,H,H,B,-,B,A,A,A,-,A,B,B,B,B,H,A,A,H,H,H,H,H,H,H,H,-,B,B,B,B,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,B
1,5.4,21.56,36.9,0.443,3.852,B,B,A,A,A,A,-,B,B,B,B,B,B,-,H,H,-,H,H,H,A,A,H,H,H,B,B,H,H,H,B,-,A,B,H,A,A,A,H,-,H,H,H,H,-,A,A,A,A,A,A,A,A,B,A,H,H,B,B,H,A,-,B,B,B,B,A,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,A,A,H,H,B,B,B,B,A,A,A,H,H
1,9.2,22.94,43.2,0.565,3.828,B,H,H,H,H,H,-,-,H,B,B,B,H,-,B,B,-,H,H,H,H,H,H,B,B,H,H,H,H,H,H,-,A,H,H,A,H,H,B,-,H,B,B,B,-,H,B,B,B,B,B,B,B,H,H,H,-,H,H,H,H,H,A,A,A,A,A,B,B,B,B,B,A,B,B,B,B,A,H,B,B,H,H,H,H,B,B,B,H,H,A,A,A,B,B,B,B,B,A,B
1,10,21.9,45.9,0.489,3.712,B,H,A,A,A,H,-,B,B,B,B,H,A,-,A,A,-,A,B,A,A,A,A,H,H,H,H,H,A,H,H,-,B,H,B,-,H,H,B,-,B,A,A,H,-,B,H,-,H,A,H,H,H,B,H,A,A,B,B,H,H,-,B,B,B,B,B,H,H,B,H,H,B,B,B,H,A,B,-,H,H,H,H,H,-,H,H,H,B,B,H,H,H,H,H,H,H,H,H,A
1,8.8,24.17,46.7,0.48,3.82,H,B,B,H,H,H,-,A,A,H,H,H,H,-,A,A,-,A,B,A,H,A,A,A,H,H,B,B,B,B,H,-,B,B,H,B,H,H,A,A,H,H,H,H,-,H,A,A,A,A,A,A,A,H,A,H,H,H,A,A,A,H,H,H,H,H,B,A,A,A,A,H,H,B,B,A,B,H,H,H,H,H,H,H,H,A,H,A,A,A,A,A,H,A,A,H,A,A,-,A
1,5.4,23.26,46.9,0.478,3.655,H,B,B,B,B,B,-,A,H,H,H,H,H,-,B,B,-,B,A,B,H,A,A,A,A,B,B,B,H,-,H,-,A,H,H,-,-,H,H,-,H,B,B,H,-,H,H,-,H,H,H,H,H,H,H,H,H,A,A,A,A,B,H,H,B,B,B,A,H,H,B,H,H,H,H,H,A,H,A,A,A,H,H,B,-,H,H,H,H,H,H,B,B,B,B,H,H,H,H,A
1,8.1,23.29,44.1,0.5,3.777,H,B,B,B,H,H,-,H,H,H,H,A,A,-,H,H,-,A,B,A,A,H,H,H,H,B,B,B,B,B,B,-,A,A,A,-,-,H,H,H,H,B,H,H,-,H,B,A,B,B,B,B,H,B,H,H,H,H,H,B,B,-,H,H,H,H,A,H,H,H,-,H,A,A,A,A,B,H,H,H,H,H,B,B,-,H,H,A,A,A,H,H,H,H,H,H,H,H,H,B
1,5.8,23.16,44.3,0.492,3.603,A,A,A,H,H,H,-,A,A,A,A,A,A,-,H,H,-,H,H,H,-,H,H,A,H,H,H,H,H,H,H,-,H,H,H,H,A,A,A,A,H,H,H,H,-,H,B,B,B,B,H,H,H,A,B,B,B,A,H,H,H,A,H,B,H,H,H,H,H,B,B,B,H,H,H,H,H,A,H,H,H,A,H,B,B,A,A,H,H,H,B,B,B,A,A,H,H,H,H,H
0,11.6,18.07,32.4,0.538,3.755,H,A,A,H,-,H,-,B,B,H,H,H,H,-,H,H,-,H,A,H,H,B,H,H,A,A,A,A,H,H,B,-,H,B,H,B,B,B,B,H,H,H,H,H,-,H,H,H,H,H,A,A,A,H,H,A,A,B,H,A,A,B,A,A,-,A,A,B,B,H,H,H,H,A,A,A,A,H,H,H,H,B,H,H,H,A,H,H,H,H,H,H,H,H,H,B,B,B,A,B
0,15.6,22.2,-,0.566,4.031,H,B,-,B,H,H,-,H,A,H,-,A,B,-,B,B,-,B,A,B,H,B,B,B,B,A,A,A,A,A,H,-,H,H,H,A,A,A,A,A,A,H,H,A,-,H,A,A,A,A,A,A,H,H,H,H,H,H,A,A,A,B,B,B,B,B,B,-,H,H,H,H,A,A,A,B,H,H,A,H,H,B,B,H,H,A,H,H,H,B,B,B,H,H,A,H,H,H,H,H
0,12.7,19.25,39.4,0.468,3.712,H,A,H,H,H,H,-,B,B,B,H,-,A,-,B,B,-,H,H,H,H,A,A,A,A,A,A,A,A,A,H,-,A,H,H,B,B,A,A,A,A,A,A,A,-,H,A,A,A,A,H,H,B,H,H,B,-,H,H,H,A,H,A,A,A,A,B,H,H,H,B,B,A,A,A,A,H,H,A,B,H,B,B,B,H,B,-,B,B,H,B,B,B,B,H,H,H,H,H,H
0,13.5,17.11,32.2,0.544,3.431,H,B,B,B,B,H,-,A,H,H,H,A,H,-,H,H,-,A,B,A,A,A,A,H,A,H,H,H,H,H,H,-,H,H,H,A,A,H,A,-,A,B,B,B,-,H,B,B,B,B,B,B,H,H,H,-,B,H,B,B,B,B,A,A,H,H,B,H,B,B,B,H,B,H,H,A,B,H,A,H,H,H,H,H,-,A,H,H,H,H,H,B,B,B,H,B,B,B,A,A
0,8,19.29,-,0.513,3.598,H,A,A,H,H,H,-,H,H,H,H,B,B,-,B,B,-,H,H,H,B,A,A,A,H,H,H,H,H,B,H,-,B,A,H,H,H,A,A,A,A,B,B,H,-,A,H,H,H,H,H,H,B,H,H,H,H,B,H,H,H,H,H,A,H,H,B,H,H,B,B,B,A,A,A,A,A,-,A,A,H,H,H,A,A,B,B,H,H,H,B,B,B,B,H,A,A,A,B,A
1,7.8,14.59,29.7,0.499,3.099,H,H,A,A,A,A,-,H,H,H,H,A,H,-,H,H,-,H,B,A,B,B,H,H,H,A,A,A,A,A,H,-,H,B,B,H,H,H,H,-,H,B,B,B,-,H,H,H,H,H,H,H,A,H,A,B,-,B,B,B,B,H,H,H,H,H,B,A,A,H,H,H,H,A,A,A,A,-,A,A,H,H,H,H,H,B,B,B,B,B,A,A,A,H,H,B,B,B,A,B
1,5.7,29.37,46.6,0.472,3.884,A,H,H,H,H,H,-,A,A,A,A,A,A,-,A,A,-,A,B,A,A,H,H,H,H,H,H,H,B,B,B,-,A,A,A,A,A,H,H,-,H,A,H,H,-,H,A,A,A,H,H,B,B,H,H,A,A,H,H,H,H,H,H,A,A,A,A,H,H,H,B,H,H,H,H,H,B,H,A,H,H,B,B,B,B,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H
1,19.6,29.2,45.8,0.562,3.857,A,H,H,H,H,H,-,H,H,A,A,H,H,-,H,H,-,H,H,H,B,-,B,H,H,A,A,A,B,B,H,-,H,B,B,H,B,B,B,H,B,B,B,B,-,H,B,B,B,B,B,B,B,H,H,H,A,H,H,H,H,-,B,B,B,B,H,H,H,B,B,-,A,H,H,H,H,B,A,H,H,H,H,H,H,B,B,B,B,H,H,B,B,B,B,H,B,B,A,B
1,7.9,27.37,47.5,-,-,H,A,H,B,B,B,-,A,H,H,H,H,A,-,B,B,-,A,B,A,A,A,A,H,B,H,H,H,H,H,B,-,H,H,H,H,B,H,H,-,H,A,A,H,-,H,H,A,H,H,H,H,A,H,H,A,H,H,H,B,B,-,B,B,B,B,A,H,H,A,A,H,H,H,H,H,H,B,A,B,B,H,H,B,B,H,H,H,H,H,A,A,A,B,B,H,H,H,H,H
